style_axis,model_id,content_coverage_rate,content_pass_rate,new_key_information_rate,contradiction_rate,mean_character_length,mean_naturalness,scalar_judge_mae
concision_detail,qwen35_35b_a3b,0.9994047619047619,0.9976190476190476,0.002380952380952381,0.002380952380952381,124.7297619047619,4.901190476190476,0.29736111111111113
concision_detail,qwen35_4b,0.9994047619047619,0.9988095238095238,0.0011904761904761906,0.0,122.02738095238095,4.876190476190477,0.3173611111111111
concision_detail,qwen35_9b,0.9996031746031746,0.9988095238095238,0.0,0.0,133.9,4.90952380952381,0.2853174603174603
concision_detail,qwen36_27b,0.9970238095238095,0.9964285714285714,0.0011904761904761906,0.0,145.28809523809525,4.921428571428572,0.2896825396825397
concision_detail,qwen36_35b_a3b,1.0,0.9976190476190476,0.005952380952380952,0.0011904761904761906,142.8654761904762,4.914285714285715,0.31426587301587305
empathy_clinical,qwen35_35b_a3b,0.9932539682539683,0.9821428571428571,0.0,0.0,140.9595238095238,4.689285714285714,0.24876984126984128
empathy_clinical,qwen35_4b,0.9968253968253968,0.9904761904761905,0.0,0.0,114.76785714285714,4.795238095238095,0.3258134920634921
empathy_clinical,qwen35_9b,0.9956349206349207,0.9880952380952381,0.0,0.0,134.22619047619048,4.733333333333333,0.2978373015873016
empathy_clinical,qwen36_27b,0.9833333333333333,0.9642857142857143,0.0,0.0,155.0011904761905,4.489285714285714,0.22913095238095238
empathy_clinical,qwen36_35b_a3b,0.9968253968253968,0.9916666666666667,0.0,0.0,155.32261904761904,4.703571428571428,0.25206349206349205
expertise_explain,qwen35_35b_a3b,0.9991071428571429,0.9904761904761905,0.0,0.005952380952380952,147.59404761904761,3.420238095238095,0.14172619047619048
expertise_explain,qwen35_4b,0.9982142857142857,0.9857142857142858,0.0,0.007142857142857143,120.30714285714286,3.7285714285714286,0.22456349206349205
expertise_explain,qwen35_9b,0.9982142857142857,0.9904761904761905,0.0,0.002380952380952381,141.23095238095237,3.630952380952381,0.1399404761904762
expertise_explain,qwen36_27b,0.9922619047619048,0.9821428571428571,0.0,0.0035714285714285713,177.04404761904763,3.1880952380952383,0.17136904761904764
expertise_explain,qwen36_35b_a3b,1.0,1.0,0.0,0.0,166.90595238095239,3.2988095238095236,0.12029761904761904
humor_neutral,qwen35_35b_a3b,0.9992063492063492,0.9976190476190476,0.0,0.0,132.48333333333332,4.7178571428571425,0.22037698412698414
humor_neutral,qwen35_4b,0.9988095238095238,0.9964285714285714,0.0011904761904761906,0.0,118.09285714285714,4.503571428571429,0.21259920634920637
humor_neutral,qwen35_9b,1.0,1.0,0.0,0.0,124.88214285714285,4.608333333333333,0.19708333333333336
humor_neutral,qwen36_27b,0.9960317460317459,0.9928571428571429,0.0,0.0,133.71904761904761,4.815476190476191,0.21194444444444444
humor_neutral,qwen36_35b_a3b,0.9968253968253968,0.9904761904761905,0.002380952380952381,0.0011904761904761906,151.475,4.747619047619048,0.20055555555555557
